state,district,pincode,Year,Month,age_0_5,age_5_17,age_18_greater,Total_Enrollment,bio_age_5_17,bio_age_17_,Biometric_Updates,demo_age_5_17,demo_age_17_,Demographic_Updates,Total_Updates,Service_Desert_Score,Female_Updates,Male_Updates,GUP_Index,Update_Gap,Vulnerability_Index,Is_Anomaly,Auth_Failure_Rate
Gujarat,Bhavnagar,364006,2025,7,0.0,0.0,0.0,0.0,209.0,219.0,428.0,0.0,0.0,0.0,428.0,0.0,218,210.0,1.033175355450237,0.0,0.0,0,4.545255407282893
Uttar Pradesh,Azamgarh,276135,2025,5,0.0,0.0,0.0,0.0,108.0,81.0,189.0,0.0,0.0,0.0,189.0,0.0,108,81.0,1.3170731707317074,0.0,0.0,0,3.845451756545661
Jharkhand,Pashchimi Singhbhum,833218,2025,10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.2,0.0,0,3.3561483608927865
Maharashtra,Solapur,413214,2025,10,15.0,2.0,0.0,17.0,39.0,44.0,83.0,16.0,466.0,482.0,565.0,0.0300353356890459,287,278.0,1.028673835125448,0.0,0.0385934819897084,0,2.680977751607024
Arunachal Pradesh,West Siang,791125,2025,9,0.0,2.0,0.0,2.0,28.0,16.0,44.0,26.0,86.0,112.0,156.0,0.0127388535031847,82,74.0,1.0933333333333333,0.0,0.0,0,2.65825458900222
Andhra Pradesh,Khammam,507126,2025,11,0.0,0.0,0.0,0.0,4.0,7.0,11.0,2.0,4.0,6.0,17.0,0.0,7,10.0,0.6363636363636364,0.0,0.0,0,4.769874355744006
Kerala,Kasaragod,671321,2025,10,54.0,17.0,1.0,72.0,82.0,157.0,239.0,27.0,229.0,256.0,495.0,0.1451612903225806,207,288.0,0.7162629757785467,0.0,0.1447183098591549,0,4.931827980413143
Andhra Pradesh,Visakhapatnam,531111,2025,10,39.0,4.0,0.0,43.0,101.0,195.0,296.0,40.0,135.0,175.0,471.0,0.0911016949152542,226,245.0,0.91869918699187,0.0,0.1135922330097087,0,3.772062238551899
Uttarakhand,Chamoli,246431,2025,10,4.0,1.0,0.0,5.0,18.0,5.0,23.0,4.0,24.0,28.0,51.0,0.0961538461538461,26,25.0,1.0,0.0,0.1052631578947368,0,2.231127719778224
Rajasthan,Chittorgarh,312402,2025,12,8.0,15.0,0.0,23.0,128.0,107.0,235.0,14.0,212.0,226.0,461.0,0.0497835497835497,218,243.0,0.8934426229508197,0.0,0.0247422680412371,0,4.987068544473383
Madhya Pradesh,East Nimar,450116,2025,10,54.0,40.0,0.0,94.0,17.0,113.0,130.0,4.0,109.0,113.0,243.0,0.3852459016393442,106,137.0,0.7681159420289855,0.0,0.2396449704142011,0,2.4400362625320087
West Bengal,Hooghly,712249,2025,4,0.0,0.0,0.0,0.0,36.0,57.0,93.0,0.0,0.0,0.0,93.0,0.0,49,44.0,1.0888888888888888,0.0,0.0,0,4.347608779775908
Bihar,Vaishali,844116,2025,5,0.0,0.0,0.0,0.0,153.0,153.0,306.0,0.0,0.0,0.0,306.0,0.0,149,157.0,0.9430379746835444,0.0,0.0,0,4.000126546666474
Odisha,Baleswar,756055,2025,11,7.0,0.0,0.0,7.0,30.0,8.0,38.0,11.0,31.0,42.0,80.0,0.0864197530864197,42,38.0,1.0769230769230769,0.0,0.1193181818181818,0,4.064114163077484
Haryana,Panchkula,134108,2025,4,0.0,0.0,0.0,0.0,35.0,29.0,64.0,0.0,0.0,0.0,64.0,0.0,27,37.0,0.7105263157894737,0.0,0.0,0,3.250576115846282
Tamil Nadu,Erode,638314,2025,9,70.0,20.0,0.0,90.0,140.0,178.0,318.0,61.0,335.0,396.0,714.0,0.1258741258741259,318,396.0,0.801007556675063,0.0,0.1304347826086956,0,4.919256425513792
Karnataka,Belagavi,591153,2025,3,0.0,0.0,0.0,0.0,19.0,11.0,30.0,29.0,29.0,58.0,88.0,0.0,54,34.0,1.542857142857143,0.0,0.0,0,3.958476736371753
Assam,Kamrup,781127,2025,7,0.0,0.0,0.0,0.0,107.0,116.0,223.0,0.0,0.0,0.0,223.0,0.0,90,133.0,0.6716417910447762,0.0,0.0,0,3.8873868390490687
Maharashtra,Nanded,431736,2025,10,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,5.0,5.0,8.0,0.1111111111111111,4,4.0,0.8,0.0,0.12,0,4.187397629046622
Uttar Pradesh,Barabanki,227302,2025,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0,3.6085589355726175
Kerala,Kollam,690533,2025,10,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,5.0,0.0,2,3.0,0.5,0.0,0.0,0,4.467536953231499
Uttar Pradesh,Bara Banki,225121,2025,9,96.0,49.0,0.0,145.0,572.0,177.0,749.0,101.0,582.0,683.0,1432.0,0.1011863224005582,649,783.0,0.8278061224489796,0.0,0.091254752851711,0,2.5825682204854887
Tamil Nadu,Nagapattinam,609105,2025,12,4.0,2.0,0.0,6.0,73.0,87.0,160.0,10.0,94.0,104.0,264.0,0.0226415094339622,119,145.0,0.815068493150685,0.0,0.022140221402214,0,3.628292783651303
Gujarat,Bhavnagar,364050,2025,5,0.0,0.0,0.0,0.0,146.0,192.0,338.0,0.0,0.0,0.0,338.0,0.0,167,171.0,0.9709302325581396,0.0,0.0,0,3.6133388904353554
Assam,Cachar,788005,2025,4,65.0,44.0,17.0,126.0,413.0,274.0,687.0,0.0,0.0,0.0,687.0,0.1831395348837209,401,286.0,1.397212543554007,0.0,0.1448402948402948,0,3.026762953537051
Bihar,Vaishali,844124,2025,10,31.0,55.0,0.0,86.0,94.0,100.0,194.0,36.0,334.0,370.0,564.0,0.1522123893805309,344,220.0,1.5565610859728507,0.0,0.0714285714285714,0,3.570426733890149
Kerala,Kozhikode,673573,2025,5,0.0,0.0,0.0,0.0,219.0,248.0,467.0,0.0,0.0,0.0,467.0,0.0,218,249.0,0.872,0.0,0.0,0,2.678492667741765
Madhya Pradesh,Chhindwara,480551,2025,11,138.0,16.0,1.0,155.0,230.0,310.0,540.0,81.0,539.0,620.0,1160.0,0.1335055986218777,568,592.0,0.957841483979764,0.0,0.1582066869300911,0,3.7924259523835735
West Bengal,Darjeeling,734321,2025,12,1.0,0.0,0.0,1.0,0.0,9.0,9.0,0.0,19.0,19.0,28.0,0.0344827586206896,13,15.0,0.8125,0.0,0.05,0,2.3484125271186063
Andhra Pradesh,Adilabad,504295,2025,6,0.0,0.0,0.0,0.0,25.0,102.0,127.0,0.0,0.0,0.0,127.0,0.0,62,65.0,0.9393939393939394,0.0,0.0,0,2.2708217185285493
Karnataka,Bengaluru,560018,2025,11,23.0,6.0,0.0,29.0,112.0,90.0,202.0,24.0,110.0,134.0,336.0,0.086053412462908,157,179.0,0.8722222222222222,0.0,0.0942622950819672,0,2.620740050448068
Karnataka,Chickmagalur,577128,2025,10,1.0,0.0,0.0,1.0,2.0,6.0,8.0,0.0,11.0,11.0,19.0,0.05,9,10.0,0.8181818181818182,0.0,0.0714285714285714,0,4.684138882921832
Assam,Charaideo,785693,2025,11,8.0,3.0,0.0,11.0,73.0,7.0,80.0,9.0,171.0,180.0,260.0,0.0421455938697318,133,127.0,1.0390625,0.0,0.0441176470588235,0,3.413613422958449
Uttarakhand,Almora,263660,2025,7,0.0,0.0,0.0,0.0,13.0,13.0,26.0,0.0,0.0,0.0,26.0,0.0,13,13.0,0.9285714285714286,0.0,0.0,0,2.494344668966329
Madhya Pradesh,Ashok Nagar,473330,2025,5,0.0,0.0,0.0,0.0,1080.0,367.0,1447.0,190.0,928.0,1118.0,2565.0,0.0,1554,1011.0,1.5355731225296445,0.0,0.0,0,3.436251450208576
Karnataka,Belgaum,590009,2025,12,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,9.0,11.0,0.0,5,6.0,0.7142857142857143,0.0,0.0,0,3.844481093704567
Uttar Pradesh,Varanasi,221007,2025,10,72.0,75.0,0.0,147.0,517.0,308.0,825.0,89.0,775.0,864.0,1689.0,0.08698224852071,817,872.0,0.9358533791523482,0.0,0.0587915078933043,0,2.5881673367619418
Kerala,Kannur,670017,2025,10,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,8.0,8.0,11.0,0.0,5,6.0,0.7142857142857143,0.0,0.0,0,4.783152974757348
Uttar Pradesh,Basti,272150,2025,5,0.0,0.0,0.0,0.0,154.0,88.0,242.0,0.0,0.0,0.0,242.0,0.0,92,150.0,0.609271523178808,0.0,0.0,0,2.9056009434555947
Kerala,Thiruvananthapuram,695101,2025,5,0.0,0.0,0.0,0.0,90.0,81.0,171.0,0.0,0.0,0.0,171.0,0.0,103,68.0,1.4927536231884058,0.0,0.0,0,2.9711989914559984
Telangana,Sangareddy,502273,2025,5,0.0,0.0,0.0,0.0,27.0,19.0,46.0,0.0,0.0,0.0,46.0,0.0,21,25.0,0.8076923076923077,0.0,0.0,0,3.301771107097508
Karnataka,Hasan,573162,2025,12,1.0,0.0,0.0,1.0,2.0,14.0,16.0,2.0,20.0,22.0,38.0,0.0256410256410256,17,21.0,0.7727272727272727,0.0,0.0375,0,2.6291829492215
Telangana,Bhadradri Kothagudem,507133,2025,11,15.0,1.0,0.0,16.0,19.0,67.0,86.0,37.0,198.0,235.0,321.0,0.0496894409937888,167,154.0,1.0774193548387097,0.0,0.0665680473372781,0,3.01198467736202
Uttar Pradesh,Sonbhadra,231223,2025,9,199.0,69.0,1.0,269.0,466.0,202.0,668.0,89.0,525.0,614.0,1282.0,0.2096648480124707,595,687.0,0.8648255813953488,0.0,0.1931056701030927,0,3.6090363469623847
Himachal Pradesh,Solan,173209,2025,11,9.0,2.0,1.0,12.0,124.0,46.0,170.0,7.0,31.0,38.0,208.0,0.0574162679425837,109,99.0,1.09,0.0,0.0665158371040724,0,4.866479997174082
Telangana,Nalgonda,508204,2025,4,0.0,0.0,0.0,0.0,202.0,74.0,276.0,0.0,0.0,0.0,276.0,0.0,127,149.0,0.8466666666666667,0.0,0.0,0,2.834849629482973
Andhra Pradesh,Khammam,507166,2025,4,0.0,0.0,0.0,0.0,10.0,26.0,36.0,0.0,0.0,0.0,36.0,0.0,17,19.0,0.85,0.0,0.0,0,2.589667591924148
Delhi,South Delhi,110080,2025,9,84.0,18.0,0.0,102.0,190.0,208.0,398.0,26.0,266.0,292.0,690.0,0.1476121562952243,418,272.0,1.531135531135531,0.0,0.158890290037831,0,3.0578807830650345
Haryana,Rewari,123102,2025,9,27.0,0.0,0.0,27.0,174.0,121.0,295.0,16.0,90.0,106.0,401.0,0.0671641791044776,187,214.0,0.8697674418604651,0.0,0.0944055944055944,0,2.878846337290856
Rajasthan,Bharatpur,328022,2025,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1,1.0,0.5,0.0,0.0,0,3.508503256789844
Madhya Pradesh,Barwani,451449,2025,4,0.0,0.0,0.0,0.0,630.0,496.0,1126.0,0.0,0.0,0.0,1126.0,0.0,670,456.0,1.4660831509846828,0.0,0.0,0,3.0817034332982214
Karnataka,Belagavi,591241,2025,12,15.0,1.0,0.0,16.0,46.0,21.0,67.0,9.0,53.0,62.0,129.0,0.123076923076923,57,72.0,0.7808219178082192,0.0,0.1541095890410959,0,4.323638021083777
Uttar Pradesh,Amroha,244927,2025,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0,2.0,0.0,0.0,0.0,0,3.753593649064507
Delhi,South West Delhi,110057,2025,5,0.0,0.0,0.0,0.0,167.0,198.0,365.0,0.0,0.0,0.0,365.0,0.0,172,193.0,0.8865979381443299,0.0,0.0,0,4.478020403049691
Gujarat,Kheda,387610,2025,7,0.0,0.0,0.0,0.0,183.0,206.0,389.0,0.0,0.0,0.0,389.0,0.0,203,186.0,1.085561497326203,0.0,0.0,0,4.995135232349147
Maharashtra,Satara,415538,2025,3,0.0,0.0,0.0,0.0,83.0,122.0,205.0,0.0,0.0,0.0,205.0,0.0,112,93.0,1.1914893617021276,0.0,0.0,0,2.38794549848488
Uttar Pradesh,Hardoi,241123,2025,6,0.0,0.0,0.0,0.0,705.0,267.0,972.0,0.0,0.0,0.0,972.0,0.0,478,494.0,0.9656565656565655,0.0,0.0,0,4.947440918437023
West Bengal,Paschim Medinipur,721467,2025,6,0.0,0.0,0.0,0.0,102.0,101.0,203.0,0.0,0.0,0.0,203.0,0.0,107,96.0,1.1030927835051547,0.0,0.0,0,3.6628349220047927
Chhattisgarh,Kanker,494635,2025,6,0.0,0.0,0.0,0.0,105.0,209.0,314.0,0.0,0.0,0.0,314.0,0.0,138,176.0,0.7796610169491526,0.0,0.0,0,3.6490826745038776
Jammu And Kashmir,Anantnag,192211,2025,7,0.0,0.0,0.0,0.0,212.0,202.0,414.0,0.0,0.0,0.0,414.0,0.0,241,173.0,1.3850574712643675,0.0,0.0,0,2.342932087206112
Maharashtra,Kolhapur,416501,2025,6,0.0,0.0,0.0,0.0,123.0,168.0,291.0,0.0,0.0,0.0,291.0,0.0,134,157.0,0.8481012658227848,0.0,0.0,0,3.1720859160112136
Odisha,Khorda,752055,2025,12,24.0,1.0,0.0,25.0,197.0,99.0,296.0,35.0,118.0,153.0,449.0,0.0555555555555555,224,225.0,0.991150442477876,0.0,0.0757894736842105,0,2.997741357999402
Manipur,Senapati,795125,2025,12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0,4.523276971559492
Uttar Pradesh,Rae Bareli,229404,2025,9,79.0,36.0,0.0,115.0,592.0,184.0,776.0,113.0,508.0,621.0,1397.0,0.0822603719599427,531,866.0,0.6124567474048442,0.0,0.0783212161269002,0,2.973051512283065
Jharkhand,Sahebganj,816101,2025,6,0.0,0.0,0.0,0.0,423.0,242.0,665.0,0.0,0.0,0.0,665.0,0.0,309,356.0,0.865546218487395,0.0,0.0,0,2.861945568882071
Maharashtra,Raigad,402209,2025,12,2.0,0.0,0.0,2.0,9.0,43.0,52.0,1.0,43.0,44.0,96.0,0.0206185567010309,38,58.0,0.6440677966101694,0.0,0.0303030303030303,0,3.4913479515352845
Rajasthan,Alwar,321606,2025,3,0.0,0.0,0.0,0.0,221.0,293.0,514.0,0.0,0.0,0.0,514.0,0.0,247,267.0,0.9216417910447762,0.0,0.0,0,3.8227898240764224
Bihar,Rohtas,821113,2025,11,78.0,121.0,2.0,201.0,404.0,669.0,1073.0,139.0,1699.0,1838.0,2911.0,0.0690247252747252,1328,1583.0,0.8383838383838383,0.0,0.03835528429168,0,2.8234280434898222
Gujarat,Porbandar,360575,2025,4,205.0,28.0,24.0,257.0,613.0,671.0,1284.0,0.0,0.0,0.0,1284.0,0.2,538,746.0,0.7202141900937081,0.0,0.2180933852140077,0,3.0926723846788224
Tamil Nadu,Tiruppur,642132,2025,7,0.0,0.0,0.0,0.0,25.0,30.0,55.0,0.0,0.0,0.0,55.0,0.0,28,27.0,1.0,0.0,0.0,0,3.240566579004847
Tamil Nadu,Tiruppur,641658,2025,5,0.0,0.0,0.0,0.0,70.0,57.0,127.0,0.0,0.0,0.0,127.0,0.0,59,68.0,0.855072463768116,0.0,0.0,0,4.6980926401942185
West Bengal,Murshidabad,742230,2025,9,7.0,0.0,0.0,7.0,8.0,22.0,30.0,0.0,38.0,38.0,68.0,0.1014492753623188,32,36.0,0.8648648648648649,0.0,0.1381578947368421,0,2.0058787862332954
Kerala,Palakkad,678624,2025,11,4.0,0.0,0.0,4.0,15.0,15.0,30.0,1.0,19.0,20.0,50.0,0.0784313725490196,18,32.0,0.5454545454545454,0.0,0.109090909090909,0,2.115791494305256
West Bengal,Haora,711410,2025,9,29.0,7.0,0.0,36.0,24.0,62.0,86.0,1.0,252.0,253.0,339.0,0.1058823529411764,149,190.0,0.7801047120418848,0.0,0.1156914893617021,0,4.228352995469396
Karnataka,Belgaum,591344,2025,12,10.0,0.0,0.0,10.0,66.0,63.0,129.0,20.0,124.0,144.0,273.0,0.0364963503649635,110,163.0,0.6707317073170732,0.0,0.0528169014084507,0,4.864363793758272
